,код класса,наименование класса,НоменклатураНаименование,НоменклатураНаименованиеПолное,НоменклатураРодитель,НоменклатураВидНоменклатуры,id,Наименование,n_abb,abb,upper_case,special,eng_letters,nums,version,n_tokens,level_0,level_1,level_2,level_3,level_4
28,04.22.01.04.04,Бачки транспортных средств,Бачок расширительный КАМАЗ пластиковый с кронштейном (МАПРА) 6520-1311010-01 Бачок расширительный КАМАЗ пластиковый с кронштейном (МАПРА) 6520-1311010-01,Бачок расширительный КАМАЗ пластиковый с кронштейном (МАПРА) 6520-1311010-01,ЛВ КАМАЗ,Запчасти,97382,Бачок расширительный КАМАЗ пластиковый с кронштейном (МАПРА) 6520-1311010-01,0,0,4,8,0,1,1,16,1,4,5,8,44
29,04.22.01.04.05,Башмаки транспортных средств,З/Ч а/м Камаз: Башмак балансира З/Ч а/м Камаз: Башмак балансира,З/Ч а/м Камаз: Башмак балансира,З/ЧАСТИ КАМАЗ,Материал,15061,З/Ч а/м Камаз: Башмак балансира,4,1,0,4,0,0,0,10,1,4,5,8,45
30,04.22.01.04.05,Башмаки транспортных средств,Башмак  баланс/с втул. ОАО КАМАЗ/ 2918070-55111 Башмак  баланс/с втул. ОАО КАМАЗ/ 2918070-55111,Башмак  баланс/с втул. ОАО КАМАЗ/ 2918070-55111,ЛВ КАМАЗ,Запчасти,97387,Башмак  баланс/с втул. ОАО КАМАЗ/ 2918070-55111,2,1,4,6,0,1,1,14,1,4,5,8,45
31,04.22.01.04.05,Башмаки транспортных средств,БАШМАК 5320-1001063-00 БАШМАК 5320-1001063-00,БАШМАК 5320-1001063-00,ЛВ КАМАЗ,Запчасти,97390,БАШМАК 5320-1001063-00,0,0,2,4,0,1,1,4,1,4,5,8,45
32,04.22.01.04.05,Башмаки транспортных средств,Башмак 55111-2918070 балансира в сб. с втулками Башмак 55111-2918070 балансира в сб. с втулками,Башмак 55111-2918070 балансира в сб. с втулками,ЛВ КАМАЗ,Запчасти,97391,Башмак 55111-2918070 балансира в сб. с втулками,0,0,0,2,0,1,1,14,1,4,5,8,45
33,04.22.01.04.05,Башмаки транспортных средств,Башмак в сборе 55111-2918068 Башмак в сборе 55111-2918068,Башмак в сборе 55111-2918068,запчасти КАМАЗ,Запчасти,97394,Башмак в сборе 55111-2918068,0,0,0,2,0,1,1,8,1,4,5,8,45
34,04.22.01.04.05,Башмаки транспортных средств,Башмак рессоры КАМАЗ со втулками в сборе 55111-2918070 Башмак рессоры КАМАЗ со втулками в сборе 55111-2918070,Башмак рессоры КАМАЗ со втулками в сборе 55111-2918070,ЛВ КАМАЗ,Запчасти,97398,Башмак рессоры КАМАЗ со втулками в сборе 55111-2918070,0,0,2,2,0,1,1,16,1,4,5,8,45
35,04.22.01.04.05,Башмаки транспортных средств,Башмак с втулками 55111-2918070 Башмак с втулками 55111-2918070,Башмак с втулками 55111-2918070,запчасти КАМАЗ,Запчасти,97399,Башмак с втулками 55111-2918070,0,0,0,2,0,1,1,8,1,4,5,8,45
36,04.22.01.04.06,Буферы транспортных средств,З/Ч а/м Камаз: Буфер фаркопа З/Ч а/м Камаз: Буфер фаркопа,З/Ч а/м Камаз: Буфер фаркопа,З/ЧАСТИ КАМАЗ,Материал,16535,З/Ч а/м Камаз: Буфер фаркопа,4,1,0,4,0,0,0,10,1,4,5,8,46
37,04.22.01.04.06,Буферы транспортных средств,Клык буфер 5325-2803016 Клык буфер 5325-2803016,Клык буфер 5325-2803016,ЛВ КАМАЗ,Запчасти,92622,Клык буфер 5325-2803016,0,0,0,2,0,1,1,6,1,4,5,8,46
38,04.22.01.04.06,Буферы транспортных средств,Буфер  для еврофаркопа(VBG) Буфер  для еврофаркопа(VBG),Буфер  для еврофаркопа(VBG),запчасти КАМАЗ,Запчасти,103167,Буфер  для еврофаркопа(VBG),0,0,2,4,1,0,0,8,1,4,5,8,46
39,04.22.01.04.06,Буферы транспортных средств,Буфер 4310-2803010 Буфер 4310-2803010,Буфер 4310-2803010,ЛВ КАМАЗ,Запчасти,103168,Буфер 4310-2803010,0,0,0,2,0,1,1,4,1,4,5,8,46
40,04.22.01.04.06,Буферы транспортных средств,Буфер 5320-2902624 Буфер 5320-2902624,Буфер 5320-2902624,ЛВ КАМАЗ,Запчасти,103173,Буфер 5320-2902624,0,0,0,2,0,1,1,4,1,4,5,8,46
41,04.22.01.04.06,Буферы транспортных средств,Буфер 5320-2912624-00 Буфер 5320-2912624-00,Буфер 5320-2912624-00,ЛВ КАМАЗ,Запчасти,103174,Буфер 5320-2912624-00,0,0,0,4,0,1,1,4,1,4,5,8,46
42,04.22.01.04.06,Буферы транспортных средств,Буфер перед.рессоры 5320-2902624 Буфер перед.рессоры 5320-2902624,Буфер перед.рессоры 5320-2902624,запчасти КАМАЗ,Запчасти,103182,Буфер перед.рессоры 5320-2902624,0,0,0,2,0,1,1,6,1,4,5,8,46
43,04.22.01.04.06,Буферы транспортных средств,Буфер передней рессоры 5320-2902624 Буфер передней рессоры 5320-2902624,Буфер передней рессоры 5320-2902624,ЛВ КАМАЗ,Запчасти,103183,Буфер передней рессоры 5320-2902624,0,0,0,2,0,1,1,8,1,4,5,8,46
44,04.22.01.04.06,Буферы транспортных средств,Буфер передний 53205-2803010 Буфер передний 53205-2803010,Буфер передний 53205-2803010,ЛВ КАМАЗ,Запчасти,103184,Буфер передний 53205-2803010,0,0,0,2,0,1,1,6,1,4,5,8,46
45,04.22.01.04.06,Буферы транспортных средств,Буфер фаркопа 5320-2707225 Буфер фаркопа 5320-2707225,Буфер фаркопа 5320-2707225,запчасти КАМАЗ,Запчасти,103193,Буфер фаркопа 5320-2707225,0,0,0,2,0,1,1,6,1,4,5,8,46
46,04.22.01.02.07,Валы транспортных средств,З/Ч  Газ-53: Вал вторичн. в сб. З/Ч  Газ-53: Вал вторичн. в сб.,З/Ч  Газ-53: Вал вторичн. в сб.,З/ЧАСТИ Газ-53,Материал,106,З/Ч  Газ-53: Вал вторичн. в сб.,2,1,0,4,0,1,1,14,1,4,5,6,7
47,04.22.01.02.07,Валы транспортных средств,З/Ч  Газ-53: Вал вторичный З/Ч  Газ-53: Вал вторичный,З/Ч  Газ-53: Вал вторичный,З/ЧАСТИ Газ-53,Материал,107,З/Ч  Газ-53: Вал вторичный,2,1,0,4,0,1,1,10,1,4,5,6,7
48,04.22.01.02.07,Валы транспортных средств,З/Ч  Газ-53: Вал первичный в сборе КПП З/Ч  Газ-53: Вал первичный в сборе КПП,З/Ч  Газ-53: Вал первичный в сборе КПП,З/ЧАСТИ Газ-53,Материал,108,З/Ч  Газ-53: Вал первичный в сборе КПП,2,1,2,4,0,1,1,16,1,4,5,6,7
49,04.22.01.02.07,Валы транспортных средств,З/Ч  Газ-53: Вал первичный ГАЗ 51 З/Ч  Газ-53: Вал первичный ГАЗ 51,З/Ч  Газ-53: Вал первичный ГАЗ 51,З/ЧАСТИ Газ-53,Материал,109,З/Ч  Газ-53: Вал первичный ГАЗ 51,2,1,2,4,0,1,1,14,1,4,5,6,7
50,04.22.01.02.07,Валы транспортных средств,З/Ч  Газ-53: Валик прив.масл.насоса З/Ч  Газ-53: Валик прив.масл.насоса,З/Ч  Газ-53: Валик прив.масл.насоса,З/ЧАСТИ Газ-53,Материал,110,З/Ч  Газ-53: Валик прив.масл.насоса,2,1,0,4,0,1,1,10,1,4,5,6,7
51,04.22.01.04.07,Валы транспортных средств,З/Ч а/м Камаз: Вал ведомой шестерни Евро-2 в сб. З/Ч а/м Камаз: Вал ведомой шестерни Евро-2 в сб.,З/Ч а/м Камаз: Вал ведомой шестерни Евро-2 в сб.,З/ЧАСТИ КАМАЗ,Материал,16536,З/Ч а/м Камаз: Вал ведомой шестерни Евро-2 в сб.,4,1,0,6,0,1,1,18,1,4,5,8,47
52,04.22.01.04.07,Валы транспортных средств,З/Ч а/м Камаз: Вал вторичный КПП *14.1701105 З/Ч а/м Камаз: Вал вторичный КПП *14.1701105,З/Ч а/м Камаз: Вал вторичный КПП *14.1701105,З/ЧАСТИ КАМАЗ,Материал,16537,З/Ч а/м Камаз: Вал вторичный КПП *14.1701105,4,1,2,6,0,1,1,14,1,4,5,8,47
53,04.22.01.04.07,Валы транспортных средств,З/Ч а/м Камаз: Вал гидромуфты З/Ч а/м Камаз: Вал гидромуфты,З/Ч а/м Камаз: Вал гидромуфты,З/ЧАСТИ КАМАЗ,Материал,16538,З/Ч а/м Камаз: Вал гидромуфты,4,1,0,4,0,0,0,10,1,4,5,8,47
54,04.22.01.04.07,Валы транспортных средств,З/Ч а/м Камаз: Вал заднего редуктора З/Ч а/м Камаз: Вал заднего редуктора,З/Ч а/м Камаз: Вал заднего редуктора,З/ЧАСТИ КАМАЗ,Материал,16539,З/Ч а/м Камаз: Вал заднего редуктора,4,1,0,4,0,0,0,12,1,4,5,8,47
55,04.22.01.04.07,Валы транспортных средств,З/Ч а/м Камаз: Вал карданный 53215-2205011-10 З/Ч а/м Камаз: Вал карданный 53215-2205011-10,З/Ч а/м Камаз: Вал карданный 53215-2205011-10,З/ЧАСТИ КАМАЗ,Материал,16540,З/Ч а/м Камаз: Вал карданный 53215-2205011-10,4,1,0,8,0,1,1,12,1,4,5,8,47
56,04.22.01.04.07,Валы транспортных средств,З/Ч а/м Камаз: Вал карданный L=629 З/Ч а/м Камаз: Вал карданный L=629,З/Ч а/м Камаз: Вал карданный L=629,З/ЧАСТИ КАМАЗ,Материал,16541,З/Ч а/м Камаз: Вал карданный L=629,4,1,0,4,1,1,0,12,1,4,5,8,47
57,04.22.01.04.07,Валы транспортных средств,З/Ч а/м Камаз: Вал карданный межосевой З/Ч а/м Камаз: Вал карданный межосевой,З/Ч а/м Камаз: Вал карданный межосевой,З/ЧАСТИ КАМАЗ,Материал,16542,З/Ч а/м Камаз: Вал карданный межосевой,4,1,0,4,0,0,0,12,1,4,5,8,47
58,04.22.01.04.07,Валы транспортных средств,З/Ч а/м Камаз: Вал карданный рулевой З/Ч а/м Камаз: Вал карданный рулевой,З/Ч а/м Камаз: Вал карданный рулевой,З/ЧАСТИ КАМАЗ,Материал,16543,З/Ч а/м Камаз: Вал карданный рулевой,4,1,0,4,0,0,0,12,1,4,5,8,47
59,04.22.01.04.07,Валы транспортных средств,З/Ч а/м Камаз: Вал коленчатый ЕВРО-1 З/Ч а/м Камаз: Вал коленчатый ЕВРО-1,З/Ч а/м Камаз: Вал коленчатый ЕВРО-1,З/ЧАСТИ КАМАЗ,Материал,16544,З/Ч а/м Камаз: Вал коленчатый ЕВРО-1,4,1,2,6,0,1,1,12,1,4,5,8,47
60,04.22.01.04.07,Валы транспортных средств,З/Ч а/м Камаз: Вал коленчатый. З/Ч а/м Камаз: Вал коленчатый.,З/Ч а/м Камаз: Вал коленчатый.,З/ЧАСТИ КАМАЗ,Материал,16545,З/Ч а/м Камаз: Вал коленчатый.,4,1,0,4,0,0,0,10,1,4,5,8,47
61,04.22.01.04.07,Валы транспортных средств,З/Ч а/м Камаз: Вал первичный делителя 152*152.1770044 З/Ч а/м Камаз: Вал первичный делителя 152*152.1770044,З/Ч а/м Камаз: Вал первичный делителя 152*152.1770044,З/ЧАСТИ КАМАЗ,Материал,16546,З/Ч а/м Камаз: Вал первичный делителя 152*152.1770044,4,1,0,6,0,1,1,14,1,4,5,8,47
62,04.22.01.04.07,Валы транспортных средств,З/Ч а/м Камаз: Вал первичный КПП 154 З/Ч а/м Камаз: Вал первичный КПП 154,З/Ч а/м Камаз: Вал первичный КПП 154,З/ЧАСТИ КАМАЗ,Материал,16547,З/Ч а/м Камаз: Вал первичный КПП 154,4,1,2,4,0,1,0,14,1,4,5,8,47
63,04.22.01.04.07,Валы транспортных средств,З/Ч а/м Камаз: Вал первичный КПП15*15.1701027 З/Ч а/м Камаз: Вал первичный КПП15*15.1701027,З/Ч а/м Камаз: Вал первичный КПП15*15.1701027,З/ЧАСТИ КАМАЗ,Материал,16548,З/Ч а/м Камаз: Вал первичный КПП15*15.1701027,4,1,2,6,0,1,1,12,1,4,5,8,47
64,04.22.01.04.07,Валы транспортных средств,З/Ч а/м Камаз: Вал промежуточный  делителя З/Ч а/м Камаз: Вал промежуточный  делителя,З/Ч а/м Камаз: Вал промежуточный  делителя,З/ЧАСТИ КАМАЗ,Материал,16549,З/Ч а/м Камаз: Вал промежуточный  делителя,4,1,0,4,0,0,0,14,1,4,5,8,47
65,04.22.01.04.07,Валы транспортных средств,З/Ч а/м Камаз: Вал промежуточный 214 в сб.*15.1770210-01 З/Ч а/м Камаз: Вал промежуточный 214 в сб.*15.1770210-01,З/Ч а/м Камаз: Вал промежуточный 214 в сб.*15.1770210-01,З/ЧАСТИ КАМАЗ,Материал,16550,З/Ч а/м Камаз: Вал промежуточный 214 в сб.*15.1770210-01,4,1,0,8,0,1,1,16,1,4,5,8,47
66,05.19.03,Товары канцелярские,блок д/записей блок д/записей,блок д/записей,Канц. товары,Канц. товары,128800,блок д/записей,2,1,0,2,0,0,0,4,2,9,15,20,79
67,04.22.01.04.07,Валы транспортных средств,З/Ч а/м Камаз: Вал распределительный Евро З/Ч а/м Камаз: Вал распределительный Евро,З/Ч а/м Камаз: Вал распределительный Евро,З/ЧАСТИ КАМАЗ,Материал,16551,З/Ч а/м Камаз: Вал распределительный Евро,4,1,0,4,0,0,0,12,1,4,5,8,47
68,04.22.01.04.07,Валы транспортных средств,З/Ч а/м Камаз: Вал среднего редуктора З/Ч а/м Камаз: Вал среднего редуктора,З/Ч а/м Камаз: Вал среднего редуктора,З/ЧАСТИ КАМАЗ,Материал,16552,З/Ч а/м Камаз: Вал среднего редуктора,4,1,0,4,0,0,0,12,1,4,5,8,47
69,04.22.01.04.07,Валы транспортных средств,З/Ч а/м Камаз: Вал З/Ч а/м Камаз: Вал,З/Ч а/м Камаз: Вал,З/ЧАСТИ КАМАЗ,Материал,96538,З/Ч а/м Камаз: Вал,4,1,0,4,0,0,0,8,1,4,5,8,47
70,05.19.03,Товары канцелярские,Блок для записей Блок для записей,Блок для записей,Канцелярские товары,Материал,6786,Блок для записей,0,0,0,0,0,0,0,6,2,9,15,20,79
71,05.19.03,Товары канцелярские,Блок для записей в подставке Блок для записей в подставке,Блок для записей в подставке,Канцелярские товары,Материал,45911,Блок для записей в подставке,0,0,0,0,0,0,0,10,2,9,15,20,79
72,05.19.03,Товары канцелярские,Блок с/клеящ 76*51 Блок с/клеящ 76*51,Блок с/клеящ 76*51,25.8 Канцтовары (без артикула),Материал,93429,Блок с/клеящ 76*51,2,1,0,4,0,1,1,6,2,9,15,20,79
73,05.19.03,Товары канцелярские,Блок самокл 51*51 250л Index 5цв пастель Блок самокл 51*51 250л Index 5цв пастель,Блок самокл 51*51 250л Index 5цв пастель,25.9 Канцтовары (новый),Материал,93432,Блок самокл 51*51 250л Index 5цв пастель,0,0,0,2,1,1,1,14,2,9,15,20,79
74,04.22.01.04.07,Валы транспортных средств,З/Ч а/м Камаз: Вал привода вентил. З/Ч а/м Камаз: Вал привода вентил.,З/Ч а/м Камаз: Вал привода вентил.,З/ЧАСТИ КАМАЗ,Материал,96539,З/Ч а/м Камаз: Вал привода вентил.,4,1,0,4,0,0,0,12,1,4,5,8,47
75,04.22.01.04.07,Валы транспортных средств,З/Ч а/м Камаз: Вал промежуточный КПП З/Ч а/м Камаз: Вал промежуточный КПП,З/Ч а/м Камаз: Вал промежуточный КПП,З/ЧАСТИ КАМАЗ,Материал,96540,З/Ч а/м Камаз: Вал промежуточный КПП,4,1,2,4,0,0,0,12,1,4,5,8,47
76,04.22.01.04.07,Валы транспортных средств,Вал 15-17702010-01 Вал 15-17702010-01,Вал 15-17702010-01,ЛВ КАМАЗ,Запчасти,104942,Вал 15-17702010-01,0,0,0,4,0,1,1,4,1,4,5,8,47
77,04.22.01.04.07,Валы транспортных средств,Вал ведомой шестерни 740.65-1029120-00 Вал ведомой шестерни 740.65-1029120-00,Вал ведомой шестерни 740.65-1029120-00,ЛВ КАМАЗ,Запчасти,104949,Вал ведомой шестерни 740.65-1029120-00,0,0,0,4,0,1,1,8,1,4,5,8,47
78,04.22.01.04.07,Валы транспортных средств,Вал ведущий 6520-2502024 Вал ведущий 6520-2502024,Вал ведущий 6520-2502024,запчасти КАМАЗ,Запчасти,104952,Вал ведущий 6520-2502024,0,0,0,2,0,1,1,6,1,4,5,8,47
79,04.22.01.04.07,Валы транспортных средств,Вал ведущий зад.моста 5320-2402024 Вал ведущий зад.моста 5320-2402024,Вал ведущий зад.моста 5320-2402024,запчасти КАМАЗ,Запчасти,104954,Вал ведущий зад.моста 5320-2402024,0,0,0,2,0,1,1,8,1,4,5,8,47
80,04.22.01.04.07,Валы транспортных средств,Вал ведущий ПМ 4310-2302024 Вал ведущий ПМ 4310-2302024,Вал ведущий ПМ 4310-2302024,ЛВ КАМАЗ,Запчасти,104955,Вал ведущий ПМ 4310-2302024,0,0,2,2,0,1,1,8,1,4,5,8,47
81,04.22.01.04.07,Валы транспортных средств,Вал вилки сцепления в сборе Вал вилки сцепления в сборе,Вал вилки сцепления в сборе,запчасти КАМАЗ,Запчасти,104958,Вал вилки сцепления в сборе,0,0,0,0,0,0,0,10,1,4,5,8,47
82,04.22.01.04.07,Валы транспортных средств,Вал кард.43118 L=1305 торц.шл.2203011-30 Вал кард.43118 L=1305 торц.шл.2203011-30,Вал кард.43118 L=1305 торц.шл.2203011-30,ЛВ КАМАЗ,Запчасти,104973,Вал кард.43118 L=1305 торц.шл.2203011-30,0,0,0,2,1,1,1,8,1,4,5,8,47
83,04.22.01.04.07,Валы транспортных средств,Вал карданный 43118-2203011-30 Вал карданный 43118-2203011-30,Вал карданный 43118-2203011-30,запчасти КАМАЗ,Запчасти,106673,Вал карданный 43118-2203011-30,0,0,0,4,0,1,1,6,1,4,5,8,47
84,04.22.01.04.07,Валы транспортных средств,Вал карданный 43118-2205011 L-1322 мм Вал карданный 43118-2205011 L-1322 мм,Вал карданный 43118-2205011 L-1322 мм,ЛВ КАМАЗ,Запчасти,106674,Вал карданный 43118-2205011 L-1322 мм,0,0,0,4,1,1,1,10,1,4,5,8,47
85,04.22.01.04.07,Валы транспортных средств,Вал карданный з/моста 53205-2201011-10 Вал карданный з/моста 53205-2201011-10,Вал карданный з/моста 53205-2201011-10,ЛВ КАМАЗ,Запчасти,106693,Вал карданный з/моста 53205-2201011-10,2,1,0,6,0,1,1,8,1,4,5,8,47
86,04.22.01.04.07,Валы транспортных средств,Вал карданный зад.моста 53205-2201011-10 Вал карданный зад.моста 53205-2201011-10,Вал карданный зад.моста 53205-2201011-10,запчасти КАМАЗ,Запчасти,106697,Вал карданный зад.моста 53205-2201011-10,0,0,0,4,0,1,1,8,1,4,5,8,47
87,04.22.01.04.07,Валы транспортных средств,Вал карданный задний УАЗ-469 с 4-ступенчатой КПП ОРИГИНАЛ EXPERT (ОАО АДС) L=931+54 31512-2201010 Вал карданный задний УАЗ-469 с 4-ступенчатой КПП ОРИГИНАЛ EXPERT (ОАО АДС) L=931+54 31512-2201010,Вал карданный задний УАЗ-469 с 4-ступенчатой КПП ОРИГИНАЛ EXPERT (ОАО АДС) L=931+54 31512-2201010,ЛВ КАМАЗ,Запчасти,106704,Вал карданный задний УАЗ-469 с 4-ступенчатой КПП ОРИГИНАЛ EXPERT (ОАО АДС) L=931+54 31512-2201010,0,0,12,10,1,1,1,26,1,4,5,8,47
